Año,D F,Reportado?,Categorías IPCC 2006,CO2-Absorciones en Gg,CO2 -Emisiones en Gg,CH4-Emisiones en Gg,N2O-Emisiones en Gg,HFC-32-Emisiones en Gg,HFC-125-Emisiones en Gg,HFC-134a-Emisiones en Gg,HFC-143a-Emisiones en Gg,HFC-152a-Emisiones en Gg,HFC-227ea-Emisiones en Gg,PFCs-Emisiones en Gg,SF6-Emisiones en Gg,NOX-Precursores en Gg,CO-Precursores en Gg,COVDM-Precursores en Gg,SO2-Precursores en Gg,CO2-Absorciones en Gg de CO2eq,CO2-Emisiones en Gg de CO2eq,CH4-Emisiones en Gg de CO2eq,N2O-Emisiones en Gg de CO2eq,HFC-32-Emisiones en Gg de CO2eq,HFC-125-Emisiones en Gg de CO2eq,HFC-134a-Emisiones en Gg de CO2eq,HFC-143a-Emisiones en Gg de CO2eq,HFC-152a-Emisiones en Gg de CO2eq,HFC-227ea-Emisiones en Gg de CO2eq,PFCs-Emisiones en Gg de CO2eq,SF6-Emisiones en Gg de CO2eq,Absorciones Totales.Gg de CO2eq,Emisiones totales (ΣGEI)-Gg de CO2eq,Con todas las emisiones y absorciones-Gg de CO2eq
1990,D,SI,1A2m   Industria no especificada,NA,325.69,1.28E-02,2.50E-03,NA,NA,NA,NA,NA,NA,NA,NA,2.10,2.90E-01,1.12E-01,1.14,NA,325.69,2.68E-01,7.75E-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,326.74,326.74
1990,F,SI,1A3   Transporte,NA,"18,546.13",6.82,8.28E-01,NA,NA,NA,NA,NA,NA,NA,NA,82.74,548.87,78.78,1.26,NA,"18,546.13",143.32,256.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18,946.19","18,946.19"
1990,F,SI,1A3a   Aviación civil,NA,690.30,4.78E-03,1.91E-02,NA,NA,NA,NA,NA,NA,NA,NA,2.39,15.07,0.71,0.36,NA,690.30,1.00E-01,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,696.33,696.33
1990,D,SI,1A3aii   Aviación de cabotaje,NA,690.30,4.78E-03,1.91E-02,NA,NA,NA,NA,NA,NA,NA,NA,2.39,15.07,0.71,0.36,NA,690.30,1.00E-01,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,696.33,696.33
1990,F,SI,1A3b   Transporte terrestre,NA,"17,310.18",6.77,7.71E-01,NA,NA,NA,NA,NA,NA,NA,NA,70.83,495.64,65.91,0.86,NA,"17,310.18",142.10,239.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17,691.31","17,691.31"
1990,D,SI,1A3bi   Automóviles,NA,"10,818.98",5.14,5.00E-01,NA,NA,NA,NA,NA,NA,NA,NA,30.36,288.68,34.24,0.55,NA,"10,818.98",107.84,155.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11,081.88","11,081.88"
1990,X,SI,1A3bi1    Automóviles de pasajeros con catalizadores tridireccionales,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,X,SI,1A3bi2    Automóviles de pasajeros sin catalizadores tridireccionales,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,D,SI,1A3bii   Camiones para servicio ligero,NA,"1,862.15",8.18E-01,8.71E-02,NA,NA,NA,NA,NA,NA,NA,NA,7.95,82.10,7.91,0.09,NA,"1,862.15",17.18,27.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,906.33","1,906.33"
1990,X,SI,1A3bii1    Camiones para servicio ligero con catalizadores tridireccionales,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,X,SI,1A3bii2    Camiones para servicio ligero sin catalizadores tridireccionales,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,D,SI,1A3biii   Camiones para servicio pesado y autobuses,NA,"3,261.66",6.24E-01,1.65E-01,NA,NA,NA,NA,NA,NA,NA,NA,32.51,124.85,23.76,0.14,NA,"3,261.66",13.10,51.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,325.85","3,325.85"
1990,D,SI,1A3biv   Motocicletas,NA,"1,367.40",1.89E-01,1.90E-02,NA,NA,NA,NA,NA,NA,NA,NA,4.19E-03,1.49E-02,3.60E-03,7.04E-02,NA,"1,367.40",3.98,5.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,377.25","1,377.25"
1990,X,SI,1A3bv   Emisiones por evaporación procedentes de vehículos,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,X,SI,1A3bvi   Catalizadores basados en urea,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,D,SI,1A3c   Ferrocarriles,NA,64.41,3.55E-03,2.36E-02,NA,NA,NA,NA,NA,NA,NA,NA,1.07,2.12E-01,9.86E-02,0.00,NA,64.41,7.45E-02,7.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.81,71.81
1990,F,SI,1A3d   Navegación marítima y fluvial,NA,481.23,5.02E-02,1.43E-02,NA,NA,NA,NA,NA,NA,NA,NA,8.45,37.95,12.05,0.03,NA,481.23,1.05,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.73,486.73
1990,D,SI,1A3dii   Navegación marítima y fluvial nacional,NA,481.23,5.02E-02,1.43E-02,NA,NA,NA,NA,NA,NA,NA,NA,8.45,37.95,12.05,0.03,NA,481.23,1.05,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.73,486.73
1990,F,SI,1A3e   Otro tipo de transporte,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE,IE,IE,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE
1990,X,SI,1A3ei   Transporte por gasoductos,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,D,SI,1A3eii   Todo terreno,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE,IE,IE,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE
1990,F,SI,1A4   Otros sectores,NA,"3,530.61",90.52,1.20,NA,NA,NA,NA,NA,NA,NA,NA,32.80,"1,038.75",165.73,24.04,NA,"3,530.61","1,900.84",371.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,802.79","5,802.79"
1990,D,SI,1A4a   Comercial / Institucional,NA,IE,1.89E-02,3.78E-04,NA,NA,NA,NA,NA,NA,NA,NA,2.80E-01,1.10E-01,8.70E-02,NE,NA,199.26,3.97E-01,1.17E-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.77,199.77
1990,D,SI,1A4b   Residencial,NA,"2,465.88",75.07,9.86E-01,NA,NA,NA,NA,NA,NA,NA,NA,22.01,"1,008.78",150.05,21.74,NA,"2,465.88","1,576.51",305.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,348.16","4,348.16"
1990,F,SI,1A4c   Agricultura / Silvicultura / Pesca / Piscifactorías,NA,865.47,15.43,2.11E-01,NA,NA,NA,NA,NA,NA,NA,NA,10.50,29.85,15.59,2.30,NA,865.47,323.94,65.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,254.86","1,254.86"
1990,D,SI,1A4ci   Estacionaria,NA,865.47,15.43,2.11E-01,NA,NA,NA,NA,NA,NA,NA,NA,10.50,29.85,15.59,2.30,NA,865.47,323.94,65.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,254.86","1,254.86"
1990,D,SI,1A4cii   Vehículos todo terreno y maquinaria,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE,NE,NE,NA,NE,NE,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NE,NE
1990,X,SI,1A4cii   Pesca,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE,IE,IE,NA,IE,IE,IE,NA,NA,NA,NA,NA,NA,NA,NA,NA,IE,IE
1990,X,SI,1A5   No especificado,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
1990,X,SI,1A5a   Estacionario,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
1990,X,SI,1A5b   Móvil,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
1990,X,SI,1A5bi   Móvil (componente aviación),NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO,NO,NO,NA,NO,NO,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NO
